Optimization Data
 
Start time: 2026-05-13 15:48:10 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.02949702, 0.007913670000000001, 0.0004898, 0.00291924, 0.0003421] 
# maxiter: 60 
# Aggregate: P-norm 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [294.97, 79.14, 4.90, 29.19, 3.42]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 197.37, 294.97 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.476,39.422,39.422,39.422,40.182
0, 2, 197.45, 295.27 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.491,39.438,39.438,39.438,40.198
0, 3, 197.48, 294.97 ,79.22 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.499,39.445,39.445,39.445,40.206
0, 4, 197.47, 294.97 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.496,39.442,39.442,39.442,40.203
0, 5, 197.47, 294.97 ,79.14 ,4.90 ,29.22 ,3.42, 0.0000, 0.0000, 1.0000, 39.496,39.442,39.442,39.442,40.202
0, 6, 197.44, 294.97 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.491,39.437,39.437,39.437,40.197
0, 7, 197.37, 294.97 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.476,39.422,39.422,39.422,40.182
0, 8, 197.45, 295.27 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.491,39.438,39.438,39.438,40.198
0, 9, 197.48, 294.97 ,79.22 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.499,39.445,39.445,39.445,40.206
0, 10, 197.47, 294.97 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.496,39.442,39.442,39.442,40.203
0, 11, 197.47, 294.97 ,79.14 ,4.90 ,29.22 ,3.42, 0.0000, 0.0000, 1.0000, 39.496,39.442,39.442,39.442,40.202
0, 12, 197.44, 294.97 ,79.14 ,4.90 ,29.19 ,3.42, 0.0000, 0.0000, 1.0000, 39.491,39.437,39.437,39.437,40.197
0, 13, 103.25, 294.70 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 1.0000, 20.651,20.624,20.624,20.624,21.012
1, 14, 103.29, 295.00 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.660,20.632,20.632,20.632,21.020
1, 15, 103.31, 294.70 ,76.60 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.663,20.635,20.635,20.635,21.024
1, 16, 103.30, 294.70 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.662,20.634,20.634,20.634,21.023
1, 17, 103.30, 294.70 ,76.53 ,2.51 ,25.79 ,2.00, 0.0000, 0.0000, 0.0000, 20.661,20.634,20.634,20.634,21.022
1, 18, 103.29, 294.70 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.660,20.632,20.632,20.632,21.020
1, 19, 103.25, 294.70 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.651,20.624,20.624,20.624,21.012
1, 20, 103.29, 295.00 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.660,20.632,20.632,20.632,21.020
1, 21, 103.31, 294.70 ,76.60 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.663,20.635,20.635,20.635,21.024
1, 22, 103.30, 294.70 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.662,20.634,20.634,20.634,21.023
1, 23, 103.30, 294.70 ,76.53 ,2.51 ,25.79 ,2.00, 0.0000, 0.0000, 0.0000, 20.661,20.634,20.634,20.634,21.022
1, 24, 103.29, 294.70 ,76.53 ,2.51 ,25.77 ,2.00, 0.0000, 0.0000, 0.0000, 20.660,20.632,20.632,20.632,21.020
1, 25, 109.90, 294.45 ,73.98 ,3.00 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.980,21.949,21.949,21.949,22.394
2, 26, 109.94, 294.75 ,73.98 ,3.00 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.988,21.957,21.957,21.957,22.402
2, 27, 109.96, 294.45 ,74.05 ,3.00 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.994,21.962,21.962,21.962,22.408
2, 28, 109.96, 294.45 ,73.98 ,3.00 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.992,21.961,21.961,21.961,22.407
2, 29, 109.95, 294.45 ,73.98 ,3.00 ,25.02 ,2.00, 0.0000, 0.0000, 0.0000, 21.990,21.959,21.959,21.959,22.404
2, 30, 109.94, 294.45 ,73.98 ,3.00 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.989,21.957,21.957,21.957,22.402
2, 31, 109.90, 294.45 ,73.98 ,3.00 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.980,21.949,21.949,21.949,22.394
