Optimization Data
 
Start time: 2026-05-13 12:57:52 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.01800658, 0.00819419, 0.00026202, 0.00363977, 0.00045457] 
# maxiter: 60 
# Aggregate: P-norm 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [180.07, 81.94, 2.62, 36.40, 4.55]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 158.04, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.609,31.578,31.578,31.578,32.012
0, 2, 158.11, 180.25 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.623,31.593,31.593,31.593,32.027
0, 3, 158.10, 180.07 ,82.02 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.621,31.591,31.591,31.591,32.026
0, 4, 158.10, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.621,31.590,31.590,31.590,32.025
0, 5, 158.15, 180.07 ,81.94 ,2.62 ,36.43 ,4.55, 0.0000, 0.0000, 1.0000, 31.630,31.600,31.600,31.600,32.034
0, 6, 158.12, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.625,31.594,31.594,31.594,32.029
0, 7, 158.04, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.609,31.578,31.578,31.578,32.012
0, 8, 158.11, 180.25 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.623,31.593,31.593,31.593,32.027
0, 9, 158.10, 180.07 ,82.02 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.621,31.591,31.591,31.591,32.026
0, 10, 158.10, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.621,31.590,31.590,31.590,32.025
0, 11, 158.15, 180.07 ,81.94 ,2.62 ,36.43 ,4.55, 0.0000, 0.0000, 1.0000, 31.630,31.600,31.600,31.600,32.034
0, 12, 158.12, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, 0.0000, 0.0000, 1.0000, 31.625,31.594,31.594,31.594,32.029
0, 13, 114.33, 179.54 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 1.0000, 22.867,22.831,22.831,22.831,23.346
1, 14, 114.36, 179.72 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.874,22.837,22.837,22.837,23.352
1, 15, 114.41, 179.54 ,80.07 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.883,22.846,22.846,22.846,23.362
1, 16, 114.40, 179.54 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.882,22.845,22.845,22.845,23.361
1, 17, 114.37, 179.54 ,79.99 ,3.21 ,32.65 ,2.00, 0.0000, 0.0000, 0.0000, 22.876,22.840,22.840,22.840,23.355
1, 18, 114.37, 179.54 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.875,22.838,22.838,22.838,23.354
1, 19, 114.33, 179.54 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.867,22.831,22.831,22.831,23.346
1, 20, 114.36, 179.72 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.874,22.837,22.837,22.837,23.352
1, 21, 114.41, 179.54 ,80.07 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.883,22.846,22.846,22.846,23.362
1, 22, 114.40, 179.54 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.882,22.845,22.845,22.845,23.361
1, 23, 114.37, 179.54 ,79.99 ,3.21 ,32.65 ,2.00, 0.0000, 0.0000, 0.0000, 22.876,22.840,22.840,22.840,23.355
1, 24, 114.37, 179.54 ,79.99 ,3.21 ,32.62 ,2.00, 0.0000, 0.0000, 0.0000, 22.875,22.838,22.838,22.838,23.354
1, 25, 108.50, 179.19 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.700,21.665,21.665,21.665,22.164
2, 26, 108.52, 179.37 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.706,21.671,21.671,21.671,22.170
2, 27, 108.57, 179.19 ,76.69 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.715,21.680,21.680,21.680,22.180
2, 28, 108.56, 179.19 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.714,21.679,21.679,21.679,22.179
2, 29, 108.53, 179.19 ,76.61 ,3.26 ,29.97 ,2.00, 0.0000, 0.0000, 0.0000, 21.708,21.673,21.673,21.673,22.172
2, 30, 108.53, 179.19 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.707,21.672,21.672,21.672,22.171
2, 31, 108.50, 179.19 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.700,21.665,21.665,21.665,22.164
2, 32, 108.52, 179.37 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.706,21.671,21.671,21.671,22.170
2, 33, 108.57, 179.19 ,76.69 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.715,21.680,21.680,21.680,22.180
2, 34, 108.56, 179.19 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.714,21.679,21.679,21.679,22.179
2, 35, 108.53, 179.19 ,76.61 ,3.26 ,29.97 ,2.00, 0.0000, 0.0000, 0.0000, 21.708,21.673,21.673,21.673,22.172
2, 36, 108.53, 179.19 ,76.61 ,3.26 ,29.94 ,2.00, 0.0000, 0.0000, 0.0000, 21.707,21.672,21.672,21.672,22.171
2, 37, 88.15, 178.27 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.631,17.603,17.603,17.603,18.007
3, 38, 88.18, 178.45 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.636,17.607,17.607,17.607,18.011
3, 39, 88.21, 178.27 ,68.94 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.643,17.615,17.615,17.615,18.019
3, 40, 88.21, 178.27 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.642,17.614,17.614,17.614,18.018
3, 41, 88.18, 178.27 ,68.87 ,2.93 ,25.03 ,2.00, 0.0000, 0.0000, 0.0000, 17.638,17.609,17.609,17.609,18.013
3, 42, 88.18, 178.27 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.637,17.608,17.608,17.608,18.012
3, 43, 88.15, 178.27 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.631,17.603,17.603,17.603,18.007
3, 44, 88.18, 178.45 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.636,17.607,17.607,17.607,18.011
3, 45, 88.21, 178.27 ,68.94 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.643,17.615,17.615,17.615,18.019
3, 46, 88.21, 178.27 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.642,17.614,17.614,17.614,18.018
3, 47, 88.18, 178.27 ,68.87 ,2.93 ,25.03 ,2.00, 0.0000, 0.0000, 0.0000, 17.638,17.609,17.609,17.609,18.013
3, 48, 88.18, 178.27 ,68.87 ,2.93 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 17.637,17.608,17.608,17.608,18.012
3, 49, 79.18, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0359, 0.0434, 0.0000, 15.837,15.812,15.812,15.812,16.155
4, 50, 79.20, 177.78 ,63.38 ,2.70 ,25.00 ,2.00, 0.0347, 0.0417, 0.8273, 15.841,15.817,15.817,15.817,16.159
4, 51, 79.23, 177.60 ,63.44 ,2.70 ,25.00 ,2.00, 0.0348, 0.0419, 0.8273, 15.847,15.823,15.823,15.823,16.165
4, 52, 79.23, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0349, 0.0421, 0.8273, 15.846,15.822,15.822,15.822,16.164
4, 53, 79.21, 177.60 ,63.38 ,2.70 ,25.02 ,2.00, 0.0359, 0.0434, 0.8273, 15.843,15.819,15.819,15.819,16.161
4, 54, 79.21, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0359, 0.0434, 0.8273, 15.842,15.818,15.818,15.818,16.160
4, 55, 79.18, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0359, 0.0435, 0.8273, 15.837,15.812,15.812,15.812,16.155
4, 56, 79.20, 177.78 ,63.38 ,2.70 ,25.00 ,2.00, 0.0347, 0.0417, 0.8273, 15.841,15.817,15.817,15.817,16.159
4, 57, 79.23, 177.60 ,63.44 ,2.70 ,25.00 ,2.00, 0.0348, 0.0419, 0.8273, 15.847,15.823,15.823,15.823,16.165
4, 58, 79.23, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0349, 0.0421, 0.8273, 15.846,15.822,15.822,15.822,16.164
4, 59, 79.21, 177.60 ,63.38 ,2.70 ,25.02 ,2.00, 0.0359, 0.0434, 0.8273, 15.843,15.819,15.819,15.819,16.161
4, 60, 79.21, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0359, 0.0434, 0.8273, 15.842,15.818,15.818,15.818,16.160
4, 61, 79.14, 177.78 ,63.34 ,2.70 ,25.00 ,2.00, 0.0359, 0.0435, 0.8273, 15.830,15.806,15.806,15.806,16.147
5, 62, 79.18, 177.62 ,63.37 ,2.70 ,25.00 ,2.00, 0.0359, 0.0434, 0.8271, 15.836,15.812,15.812,15.812,16.154
5, 63, 79.18, 177.60 ,63.38 ,2.70 ,25.00 ,2.00, 0.0360, 0.0435, 0.8271, 15.837,15.812,15.812,15.812,16.154
