Optimization Data
 
Start time: 2026-05-13 14:41:49 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.023887040000000002, 0.00911956, 0.00038855000000000004, 0.00598471, 0.00031539000000000003] 
# maxiter: 60 
# Aggregate: P-norm 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [238.87, 91.20, 3.89, 59.85, 3.15]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 250.64, 238.87 ,91.20 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.129,50.079,50.079,50.079,50.788
0, 2, 250.76, 239.11 ,91.20 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.154,50.104,50.104,50.104,50.813
0, 3, 250.74, 238.87 ,91.29 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.150,50.100,50.100,50.100,50.810
0, 4, 250.73, 238.87 ,91.20 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.148,50.098,50.098,50.098,50.808
0, 5, 250.79, 238.87 ,91.20 ,3.89 ,59.91 ,3.15, 0.0000, 0.0000, 1.0000, 50.160,50.110,50.110,50.110,50.819
0, 6, 250.78, 238.87 ,91.20 ,3.89 ,59.85 ,3.16, 0.0000, 0.0000, 1.0000, 50.157,50.107,50.107,50.107,50.816
0, 7, 250.64, 238.87 ,91.20 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.129,50.079,50.079,50.079,50.788
0, 8, 250.76, 239.11 ,91.20 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.154,50.104,50.104,50.104,50.813
0, 9, 250.74, 238.87 ,91.29 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.150,50.100,50.100,50.100,50.810
0, 10, 250.73, 238.87 ,91.20 ,3.89 ,59.85 ,3.15, 0.0000, 0.0000, 1.0000, 50.148,50.098,50.098,50.098,50.808
